it	epsiln energy reg_e  im_e   gV_inf relEn0 relIm0 relGV0 relErr v_CFL  soft_v h_tmax 1/Max  CFL_n  time_iter 
1.0000 	0.0100 0.0460 0.0000 0.0460 4.2794 3.1416 3.1416 1.0000 3.1416 1.0000 0.0000 0.0226 0.1132 0.4625 10.5669 
2.0000 	0.0010 0.0085 0.0000 0.0085 4.2794 0.5801 0.1847 1.0000 0.5801 0.0000 0.0000 0.2416 1.2082 0.0433 5.4563 
3.0000 	0.0010 0.0060 0.0000 0.0060 3.8727 0.4067 0.7011 0.9050 0.4067 0.0000 0.0000 0.1320 0.6601 0.0793 5.4695 
4.0000	0.0010 0.0040 0.0000 0.0040 3.9008 0.2753 0.6768 0.9115 0.2753 0.0000 0.0000 0.0878 0.4390 0.1192 5.4866 
5.0000 	0.0010 0.0024 0.0000 0.0024 3.5445 0.1643 0.5968 0.8283 0.1643 0.0000 0.0000 0.0673 0.3363 0.1556 5.5087 
6.0000 	0.0010 0.0018 0.0000 0.0018 2.1510 0.1230 0.7490 0.5026 0.1230 0.0000 0.0000 0.0590 0.2951 0.1774 5.4862 
7.0000 	0.0010 0.0016 0.0000 0.0016 1.0311 0.1068 0.8681 0.2410 0.1068 0.0000 0.0000 0.0558 0.2790 0.1876 5.4426 
8.0000 	0.0010 0.0015 0.0000 0.0015 0.6065 0.1007 0.9429 0.1417 0.1007 0.0000 0.0000 0.0546 0.2731 0.1916 5.5268 
9.0000 	0.0010 0.0014 0.0000 0.0014 0.3350 0.0973 0.9662 0.0783 0.0973 0.0000 0.0000 0.0540 0.2700 0.1939 5.5226 
10.0000 0.0010 0.0014 0.0000 0.0014 0.2138 0.0954 0.9806 0.0500 0.0954 0.0000 0.0000 0.0537 0.2683 0.1951 5.4949 
11.0000 0.0010 0.0014 0.0000 0.0014 0.1378 0.0941 0.9863 0.0322 0.0941 0.0000 0.0000 0.0535 0.2674 0.1957 5.5004 
12.0000 0.0010 0.0014 0.0000 0.0014 0.0937 0.0931 0.9888 0.0219 0.0931 0.0000 0.0000 0.0534 0.2668 0.1962 5.5794 
13.0000 0.0010 0.0013 0.0000 0.0013 0.0812 0.0921 0.9895 0.0190 0.0921 0.0000 0.0000 0.0533 0.2665 0.1964 5.5830 
14.0000 0.0010 0.0013 0.0000 0.0013 0.0777 0.0912 0.9901 0.0182 0.0912 0.0000 0.0000 0.0532 0.2662 0.1966 5.5812 
15.0000 0.0010 0.0013 0.0000 0.0013 0.0754 0.0903 0.9906 0.0176 0.0903 0.0000 0.0000 0.0532 0.2661 0.1967 5.5819 
16.0000 0.0010 0.0013 0.0000 0.0013 0.0732 0.0895 0.9910 0.0171 0.0895 0.0000 0.0000 0.0532 0.2659 0.1968 5.5859 
17.0000 0.0010 0.0013 0.0000 0.0013 0.0714 0.0887 0.9913 0.0167 0.0887 0.0000 0.0000 0.0531 0.2657 0.1970 5.5856 
18.0000 0.0010 0.0013 0.0000 0.0013 0.0699 0.0880 0.9915 0.0163 0.0880 0.0000 0.0000 0.0531 0.2655 0.1971 5.5834 
19.0000 0.0010 0.0013 0.0000 0.0013 0.0686 0.0872 0.9907 0.0160 0.0872 0.0000 0.0000 0.0531 0.2654 0.1972 5.5917 
20.0000 0.0010 0.0013 0.0000 0.0013 0.0660 0.0864 0.9909 0.0154 0.0864 0.0000 0.0000 0.0530 0.2652 0.1973 5.5929 
21.0000 0.0010 0.0013 0.0000 0.0013 0.0641 0.0856 0.9911 0.0150 0.0856 0.0000 0.0000 0.0530 0.2651 0.1974 5.5924 
22.0000 0.0010 0.0012 0.0000 0.0012 0.0623 0.0849 0.9913 0.0146 0.0849 0.0000 0.0000 0.0530 0.2649 0.1975 5.5952 
23.0000 0.0010 0.0012 0.0000 0.0012 0.0607 0.0841 0.9915 0.0142 0.0841 0.0000 0.0000 0.0530 0.2648 0.1976 5.5931 
